first_name,last_name,email,password,education,latitude,longitude,skills,description
c0 first name,c0 last name,c0@email.com,password,secondary,-33.934720720585986,151.35565976075236,"['Management', 'Floristry', 'Management', 'Management', 'Chiropractic & Osteopathic']","To seek a position in a well established Organization that offers room for professional growth, as this provides me ample opportunities to exhibit my skills and competencies in the chosen field"
c1 first name,c1 last name,c1@email.com,password,PhD,-33.761601371196875,151.10893184093854,"['Graphic Design', 'Dental ', 'Construction Law', 'Supervisors/Team Leaders', 'Marketing Communications', 'Landscape Architecture', 'Buying', 'Management - Store ', 'Banking - Business']",To associate myself with an organization that provides me an opportunity to show my skills
c2 first name,c2 last name,c2@email.com,password,PhD,-34.070531230224475,151.38598506334722,"['Graphic Design', 'Other', 'Criminal & Civil Law', 'All Hospitality & Tourism ', 'Gaming', 'Oil & Gas - Production & Refinement', 'Art Direction']","To secure a challenging position in an esteemed organization, and expand my skills and experience by working alongside the best technologists in the industry"
c3 first name,c3 last name,c3@email.com,password,masters,-33.7573087594467,150.89937467191842,"['Pharmacy', 'Pharmaceuticals & Medical Devices', 'Financial Accounting & Reporting', 'Nursing - Theatre & Recovery', 'Oil & Gas - Engineering & Maintenance', 'Other', 'Waiting Staff', 'Accounts Receivable/Credit Control', 'Machine Operators']","To work in a firm with a professional work driven environment where I can utilize and apply my knowledge, skills which would enable me as a fresh graduate to grow while fulfilling organizational goals"
c4 first name,c4 last name,c4@email.com,password,none,-33.80172174717854,151.0700368938808,"['Other', 'Photography', 'Automotive Engineering', 'Forensic Accounting & Investigation', 'Fundraising', 'Account & Relationship Management']","To obtain a position where my communication, leadership, managerial, computing, software and technical skill are utilized to its best"
c5 first name,c5 last name,c5@email.com,password,tertiary,-33.92716909690569,151.08832713675838,"['Farm Management', 'Fitters, Turners & Machinists']","To work in a firm with a professional work driven environment where I can utilize and apply my knowledge, skills and abilities to the growth of the organization and build my professional career"
c6 first name,c6 last name,c6@email.com,password,none,-33.8540600795062,151.55362834072386,"['Rail & Maritime Transport', 'COO & MD', 'Teaching - Secondary', 'Management', 'Consulting & Strategy', 'Ambulance/Paramedics', 'Other', 'Taxation']",To deliver consistent results with proficiency and commitment
c7 first name,c7 last name,c7@email.com,password,tertiary,-33.77194804807759,151.42011307720674,"['Conservation, Parks & Wildlife', 'Systems Engineering', 'Import/Export & Customs']",To work in a challenging environment demanding all my skills and adapt myself in different fields for the development of the organization with impressive performance
c8 first name,c8 last name,c8@email.com,password,masters,-33.90124451091791,150.91138902937223,"['Other', 'All Mining, Resources & Energy ', 'Audit - External', 'Mining - Exploration & Geoscience', 'Accounts Payable', 'All Design & Architecture', 'Child Welfare, Youth & Family Services ']","To survive in compitative and fast changing professional environments with the academically acquired knowledge, skills and confidence"
c9 first name,c9 last name,c9@email.com,password,tertiary,-33.69027304376075,151.27657147083318,"['Painters & Sign Writers', 'Residential Sales', 'Analysis & Reporting', 'Government - State ', 'Account & Relationship Management', 'Insurance & Superannuation Law', 'Pharmaceuticals & Medical Devices', 'Student Services', 'Law Clerks & Paralegals']",To work in an organization where I can learn continuously while contributing to the growth of the organization with total dedication and commitment towards work
c10 first name,c10 last name,c10@email.com,password,secondary,-34.052169740228045,150.96684741792615,"['Mining - Engineering & Maintenance ', 'All Marketing & Communications ', 'Digital & Search Marketing', 'Client & Sales Administration', 'Training & Development', 'Airlines', 'All Consulting & Strategy', 'Risk Consulting', 'Art Direction', 'Architectural Drafting']","To frame a career that allows me to be compatible in any competitive environment and also boosts up my capacities, knowledge and energy to their positive full and a drive for self improvement with sincerity, dedication and smart work"
c11 first name,c11 last name,c11@email.com,password,masters,-33.857889631251545,151.47494945994413,"['Mining - Exploration & Geoscience', 'Planning & Scheduling', 'Management - Internal', 'Event Management', 'Pickers & Packers', 'Management', 'Bar & Beverage Staff']",To work in an organization where I can contribute with my skills and abilities in the growth of the organization as well as where I can build my professional career
c12 first name,c12 last name,c12@email.com,password,tertiary,-33.82311427109854,151.21987223404534,"['Other', 'Road Transport ', 'Market Research & Analysis', 'Supervisors', 'Management', 'Fitters, Turners & Machinists', 'Banking - Business']","To work in learning and challenging environment, utilizing my skills and knowledge to be the best of my abilities and contribute positively to the growth of the organization"
c13 first name,c13 last name,c13@email.com,password,none,-34.062799234839076,151.29960762249704,"['Taxation', 'Corporate Finance & Investment Banking', 'Accounts Officers/Clerks', 'Community Development', 'Sales - Pre & Post']",To pursue a challenging career and be a part of progressive organizationthatgives ascope to enhance my knowledge and utilizing my skills towards the growthof the organization
c14 first name,c14 last name,c14@email.com,password,masters,-33.73218170891956,150.97291289067874,"['Navy', 'Retail Assistants ']","To work in a challenging environment, utilizing my skill, knowledge and expertise to the best of my abilities and contribute positively to my personal growth as well as growth of the organization"
c15 first name,c15 last name,c15@email.com,password,PhD,-33.85409319892812,151.34240343933232,"['Other', 'Cost Accounting', 'All Information & Communication Technology ', 'Winery & Viticulture', 'Audit - External', 'Couriers, Drivers & Postal Services', 'Travel Agents/Consultants']",To prove myself in a challenge position of responsibility that would stimulate and sharpen my skill and Establish me as a valuable assets to the organization
c16 first name,c16 last name,c16@email.com,password,PhD,-34.05810116078082,151.13146170560972,"['Agronomy & Farm Services', 'Engineering - Network', 'Labourers ', 'Other', 'Other']",To build a successful career and to work with committed and dedicated people in an innovative and competitive world which will help me to explore myself and to take a challenging role to the best of my skills and realize my potential
c17 first name,c17 last name,c17@email.com,password,secondary,-33.660650707421766,150.9915988068562,"['Product Management & Development', 'Teaching - Tertiary', 'Other', 'Other']","To Excel and pride in an organization which offers challenging work environment and growth in the areas of Software Development to become skilled software professional through hard work, commitment and adaptability to changes, rewarding and provides an opportunity to expand my knowledge and abilities in creating client centric solutions"
c18 first name,c18 last name,c18@email.com,password,postgraduate,-34.08052616280449,151.14250918807568,"['Marketing Assistants/Coordinators', 'All Healthcare & Medical ', 'Workplace Training & Assessment', 'Consulting & Strategy', 'Organisational Development', 'Winery & Viticulture']",To obtain a position in a company where I can make use of my skills to advance my professional career along with the organization objective
c19 first name,c19 last name,c19@email.com,password,none,-33.791899797336384,151.2883973969873,"['Management', 'Trade Marketing', 'Taxation']",To be an astute learner and the best performer in the IT industry
c20 first name,c20 last name,c20@email.com,password,masters,-33.85242732302996,151.00175602492828,"['Direct Marketing & CRM', 'Nursing - Community, Maternal & Child Health']",To achieve a promising career in technical sector where my subject abilities and personal skills can be exploited to benefit the organization and at the same time to succeed a growth oriented career platform
c21 first name,c21 last name,c21@email.com,password,tertiary,-34.00987532341068,151.16945795549773,"['Team Leaders/Supervisors', 'Other', 'Management - Store ', 'Corporate Finance & Investment Banking', 'Management - Schools', 'Management - Universities', 'Landscape Architecture']",To pursue a career that enables me to work and learn in a real professional ambience with scope for widening the spectrum of my knowledge and skills
c22 first name,c22 last name,c22@email.com,password,PhD,-33.80554300817974,151.48066471493237,"['Customer Service - Customer Facing', 'Environmental Engineering']","To seek a job in IT industry where I can utilize my communication skills, smart working ability, fresh thoughts and assertive behavior, to benefit the organization and contribute substantially to its development"
c23 first name,c23 last name,c23@email.com,password,tertiary,-33.909227923697586,151.33322154351012,"['Chiropractic & Osteopathic', 'Machine Operators', 'Gardening & Landscaping', 'Remuneration & Benefits', 'Warehousing, Storage & Distribution ', 'Indigenous & Multicultural Services', 'Project Management', 'Teaching Aides & Special Needs', 'Oil & Gas - Operations', 'Air Force']",To obtain a position that will allow me to utilize my technical skills and willingness to contribute and learn in making an organization successful
c24 first name,c24 last name,c24@email.com,password,none,-33.91393864106941,151.11863955958154,"['Library Services & Information Management', 'Veterinary Services & Animal Welfare']",To seek a challenge position in dynamic organization with passion and dedication in any kind of situation where I can prove my skills and knowledge with perfection
c25 first name,c25 last name,c25@email.com,password,none,-33.85540032535856,151.55650912716197,"['Planning', 'Other', 'PA, EA & Secretarial', 'Inventory & Fixed Assets', 'Credit', ""Workers' Compensation"", 'Commercial Sales, Leasing & Property Mgmt', 'Brokerage', 'Carpentry & Cabinet Making ', 'Architectural Drafting']","To be ever learning, energetic engineering professional, eager to excel in an equally dynamic organization, with an aim to actualize success for both an organization and for self"
c26 first name,c26 last name,c26@email.com,password,none,-33.852125810324466,151.2092905231708,"['Farm Management', 'Claims', 'All Science & Technology', 'Childcare & Outside School Hours Care ', 'Team Leaders/Supervisors']","To work in a professional organization, which provides not only a highly competitive and challenging atmosphere but also provides good opportunities for growth and development"
c27 first name,c27 last name,c27@email.com,password,postgraduate,-33.776721126871074,151.41281660293654,['Help Desk & IT Support'],"To enhance my working capacities, professional skills, business efficiencies and to serve my organization in best possible way with sheer determination and commitment"
c28 first name,c28 last name,c28@email.com,password,postgraduate,-33.74581099047394,151.419969358519,"['Industrial & Employee Relations', 'Testing & Quality Assurance', 'Compliance & Risk', 'Sales - Pre & Post']","To live honest and hard life in challenging environment, I intend to play a key role in Organization Growth with committed and dedicated people"
c29 first name,c29 last name,c29@email.com,password,tertiary,-33.907079418155824,151.20754339163602,"['All Information & Communication Technology ', 'Medical Imaging', 'Audit - Internal', 'Other']",To work for the organization to the best of my knowledge and ability from where the organization could benefit from my services and provide me with knowledge that are professionally important to me
c30 first name,c30 last name,c30@email.com,password,tertiary,-33.781836965314355,151.0469931700039,"['All Design & Architecture', 'Government - Local ', 'Field Engineering', 'All Self Employment', 'Technical Writing', 'Legal Secretaries', 'Warehousing, Storage & Distribution ', 'Production, Planning & Scheduling', 'Programme & Project Management', 'Sales']",To gain employment with a company that offers me a consistently positive atmosphere to learn new technologies and implement them for the betterment of the business
c31 first name,c31 last name,c31@email.com,password,postgraduate,-33.769108127293656,151.41586874992194,"['Analysts', 'Agency Account Management']",To secure a challenging position where I can effectively contribute my skills as Software Engineer
c32 first name,c32 last name,c32@email.com,password,none,-33.87140605683089,150.8820055821345,"['Illustration & Animation', 'Environmental Engineering']",To gain new experience and utilize my interpersonal skills to achieve goals
c33 first name,c33 last name,c33@email.com,password,postgraduate,-34.0125701296245,151.17818183516377,"['Accounts Receivable/Credit Control', 'Agronomy & Farm Services', 'All Education & Training ', 'Management', 'Building Services Engineering']",To get hold of a challenging career with a solid company utilizing the chance to offer proven and developing skills inside the company
c34 first name,c34 last name,c34@email.com,password,tertiary,-33.87864910295057,151.4838460455469,"['Remuneration & Benefits', 'Performing Arts', 'Materials Sciences', 'Architecture']",To secure a challenging career and lead a responsible role in your esteemed company and serve the organization with commitment and sincerity
