username,password,email,first_name,last_name,name,industry
company0,Admin,company0@email.com,company0 first name,company0 last name,company 0,Information & Communication Technology
company1,Admin,company10@email.com,company10 first name,company10 last name,company 1,Education & Training
company2,Admin,company20@email.com,company20 first name,company20 last name,company 2,Call Centre & Customer Service
company3,Admin,company30@email.com,company30 first name,company30 last name,company 3,"Advertising, Arts & Media"
company4,Admin,company40@email.com,company40 first name,company40 last name,company 4,Information & Communication Technology
company5,Admin,company50@email.com,company50 first name,company50 last name,company 5,Sport & Recreation
company6,Admin,company60@email.com,company60 first name,company60 last name,company 6,"Advertising, Arts & Media"
company7,Admin,company70@email.com,company70 first name,company70 last name,company 7,Healthcare & Medical
company8,Admin,company80@email.com,company80 first name,company80 last name,company 8,Trades & Services
company9,Admin,company90@email.com,company90 first name,company90 last name,company 9,Healthcare & Medical
company10,Admin,company100@email.com,company100 first name,company100 last name,company 10,Healthcare & Medical
company11,Admin,company110@email.com,company110 first name,company110 last name,company 11,Government & Defence
company12,Admin,company120@email.com,company120 first name,company120 last name,company 12,Engineering
company13,Admin,company130@email.com,company130 first name,company130 last name,company 13,Education & Training
company14,Admin,company140@email.com,company140 first name,company140 last name,company 14,Accounting
company15,Admin,company150@email.com,company150 first name,company150 last name,company 15,Insurance & Superannuation
company16,Admin,company160@email.com,company160 first name,company160 last name,company 16,Self Employment
company17,Admin,company170@email.com,company170 first name,company170 last name,company 17,Government & Defence
company18,Admin,company180@email.com,company180 first name,company180 last name,company 18,Self Employment
company19,Admin,company190@email.com,company190 first name,company190 last name,company 19,Government & Defence
company20,Admin,company200@email.com,company200 first name,company200 last name,company 20,Sales
company21,Admin,company210@email.com,company210 first name,company210 last name,company 21,Construction
company22,Admin,company220@email.com,company220 first name,company220 last name,company 22,Sales
company23,Admin,company230@email.com,company230 first name,company230 last name,company 23,Sales
company24,Admin,company240@email.com,company240 first name,company240 last name,company 24,Design & Architecture
company25,Admin,company250@email.com,company250 first name,company250 last name,company 25,Accounting
company26,Admin,company260@email.com,company260 first name,company260 last name,company 26,Banking & Financial Services
company27,Admin,company270@email.com,company270 first name,company270 last name,company 27,Trades & Services
company28,Admin,company280@email.com,company280 first name,company280 last name,company 28,Engineering
company29,Admin,company290@email.com,company290 first name,company290 last name,company 29,Hospitality & Tourism
company30,Admin,company300@email.com,company300 first name,company300 last name,company 30,Marketing & Communications
company31,Admin,company310@email.com,company310 first name,company310 last name,company 31,Self Employment
company32,Admin,company320@email.com,company320 first name,company320 last name,company 32,Human Resources & Recruitment
company33,Admin,company330@email.com,company330 first name,company330 last name,company 33,"Farming, Animals & Conservation"
company34,Admin,company340@email.com,company340 first name,company340 last name,company 34,Government & Defence
company35,Admin,company350@email.com,company350 first name,company350 last name,company 35,"Advertising, Arts & Media"
company36,Admin,company360@email.com,company360 first name,company360 last name,company 36,Information & Communication Technology
company37,Admin,company370@email.com,company370 first name,company370 last name,company 37,Science & Technology
company38,Admin,company380@email.com,company380 first name,company380 last name,company 38,"Manufacturing, Transport & Logistics"
company39,Admin,company390@email.com,company390 first name,company390 last name,company 39,Hospitality & Tourism
company40,Admin,company400@email.com,company400 first name,company400 last name,company 40,"Farming, Animals & Conservation"
company41,Admin,company410@email.com,company410 first name,company410 last name,company 41,Real Estate & Property
company42,Admin,company420@email.com,company420 first name,company420 last name,company 42,Sales
company43,Admin,company430@email.com,company430 first name,company430 last name,company 43,Insurance & Superannuation
company44,Admin,company440@email.com,company440 first name,company440 last name,company 44,Marketing & Communications
company45,Admin,company450@email.com,company450 first name,company450 last name,company 45,CEO & General Management
company46,Admin,company460@email.com,company460 first name,company460 last name,company 46,Education & Training
company47,Admin,company470@email.com,company470 first name,company470 last name,company 47,Self Employment
company48,Admin,company480@email.com,company480 first name,company480 last name,company 48,Information & Communication Technology
company49,Admin,company490@email.com,company490 first name,company490 last name,company 49,"Farming, Animals & Conservation"
company50,Admin,company500@email.com,company500 first name,company500 last name,company 50,Self Employment
company51,Admin,company510@email.com,company510 first name,company510 last name,company 51,Healthcare & Medical
company52,Admin,company520@email.com,company520 first name,company520 last name,company 52,CEO & General Management
company53,Admin,company530@email.com,company530 first name,company530 last name,company 53,Administration & Office Support
company54,Admin,company540@email.com,company540 first name,company540 last name,company 54,Insurance & Superannuation
company55,Admin,company550@email.com,company550 first name,company550 last name,company 55,Marketing & Communications
company56,Admin,company560@email.com,company560 first name,company560 last name,company 56,Banking & Financial Services
company57,Admin,company570@email.com,company570 first name,company570 last name,company 57,Science & Technology
company58,Admin,company580@email.com,company580 first name,company580 last name,company 58,Marketing & Communications
company59,Admin,company590@email.com,company590 first name,company590 last name,company 59,Legal
company60,Admin,company600@email.com,company600 first name,company600 last name,company 60,Engineering
company61,Admin,company610@email.com,company610 first name,company610 last name,company 61,Call Centre & Customer Service
company62,Admin,company620@email.com,company620 first name,company620 last name,company 62,Banking & Financial Services
company63,Admin,company630@email.com,company630 first name,company630 last name,company 63,Accounting
