first_name,last_name,email,password,group,education,skills
c0 first name,c0 last name,c0@email.com,password,0,['tertiary'],"['Claims', 'Automotive Trades ', 'Teaching - Secondary', 'Team Leaders/Supervisors', 'Government - Local ', 'Reservations', 'Customer Service - Call Centre', 'Other']"
c1 first name,c1 last name,c1@email.com,password,0,['tertiary'],"['Other', 'Other', 'Engineering Drafting', 'Labourers ', 'Editing & Publishing', 'Office Management', 'Management - Area/Multi-site', 'Administrative Assistants ']"
c2 first name,c2 last name,c2@email.com,password,0,['masters'],"['All Healthcare & Medical ', 'Ambulance/Paramedics', 'Residential Leasing & Property Management', 'Self Employment', 'Housekeeping', 'Horticulture']"
c3 first name,c3 last name,c3@email.com,password,0,['masters'],"['Other', 'All Information & Communication Technology ', 'Merchandisers', 'Team Leaders']"
c4 first name,c4 last name,c4@email.com,password,0,['tertiary'],"['Research & Fellowships', 'All Design & Architecture', 'Management']"
c5 first name,c5 last name,c5@email.com,password,0,['secondary'],"['Management', 'Couriers, Drivers & Postal Services', 'Contracts Administration', 'Pharmacy', 'All Science & Technology', 'Programming & Production']"
c6 first name,c6 last name,c6@email.com,password,0,['apprenticeship'],"['Employment Services', 'Waiting Staff', 'Horticulture', 'Other', 'All Government & Defence ']"
c7 first name,c7 last name,c7@email.com,password,0,['apprenticeship'],"['Audit - External', 'Settlements', 'Aviation Services', 'Corporate Development']"
c8 first name,c8 last name,c8@email.com,password,0,['MBA'],['Chemical Engineering']
c9 first name,c9 last name,c9@email.com,password,0,['PhD'],"['Self Employment', 'Foreperson/Supervisors']"
c10 first name,c10 last name,c10@email.com,password,0,['apprenticeship'],"['Management', 'Field Engineering', 'Business Services & Corporate Advisory', 'Compliance & Risk', 'Planning', 'Quality Assurance & Control', 'Road Transport ', 'Account & Relationship Management', 'Credit']"
c11 first name,c11 last name,c11@email.com,password,0,['masters'],"['Analysts', 'Training & Development', 'Actuarial', 'All Information & Communication Technology ', 'Occupational Health & Safety', 'Air Conditioning & Refrigeration', 'Legal Practice Management', 'Marketing Assistants/Coordinators']"
c12 first name,c12 last name,c12@email.com,password,0,['tertiary'],"['Pattern Makers & Garment Technicians', 'Administrative Assistants ', 'Business/Systems Analysts', 'Automotive Engineering', 'Agency Account Management', 'Analysts', 'Maintenance', 'Analysts', 'Management & Change Consulting']"
c13 first name,c13 last name,c13@email.com,password,0,['secondary'],"['Aerospace Engineering', 'All Legal ', 'Technicians ', 'Painters & Sign Writers', 'Gaming', 'Event Management']"
c14 first name,c14 last name,c14@email.com,password,0,['apprenticeship'],['Architects']
c15 first name,c15 last name,c15@email.com,password,0,['secondary'],"['Tax Law', 'Data Entry & Word Processing', 'Administrative Assistants ', 'Insolvency & Corporate Recovery', 'Veterinary Services & Animal Welfare', 'Financial Managers & Controllers', 'PA, EA & Secretarial', 'Journalism & Writing', 'Government - Federal ']"
c16 first name,c16 last name,c16@email.com,password,0,['apprenticeship'],"['Biological & Biomedical Sciences', 'Cost Accounting', 'Other', 'Nursing - A&E, Critical Care & ICU', 'Oil & Gas - Production & Refinement']"
c17 first name,c17 last name,c17@email.com,password,0,['masters'],"['Other', 'Accounts Officers/Clerks']"
c18 first name,c18 last name,c18@email.com,password,0,['secondary'],"['Dieticians', 'Policy', 'Public Transport & Taxi Services', 'Nursing - Community, Maternal & Child Health', 'Airlines', 'Other', 'Other']"
c19 first name,c19 last name,c19@email.com,password,0,['PhD'],"['Event Management', 'Nursing - Midwifery, Neo-Natal, SCN & NICU', 'Administrative Assistants ', 'PA, EA & Secretarial', 'Urban Design & Planning', 'Sales - Outbound', 'All Real Estate & Property ', 'Client Services', 'Fashion & Textile Design', 'Analysis & Reporting']"
c20 first name,c20 last name,c20@email.com,password,0,['apprenticeship'],"['Management', 'All Consulting & Strategy', 'Pattern Makers & Garment Technicians', 'Bar & Beverage Staff', 'Public Transport & Taxi Services', 'Technical Writing', 'Retail & Property Development']"
c21 first name,c21 last name,c21@email.com,password,0,['tertiary'],"['Ambulance/Paramedics', 'Biotechnology & Genetics', 'Field Engineering', 'Analysis & Reporting', 'Gardening & Landscaping', 'Travel Agents/Consultants', 'Management - Store ']"
c22 first name,c22 last name,c22@email.com,password,0,['masters'],"['COO & MD', 'Treasury', 'Management - Department/Assistant', 'Receptionists', 'Fundraising', 'Industrial Relations & Employment Law']"
c23 first name,c23 last name,c23@email.com,password,0,['MBA'],['Receptionists']
c24 first name,c24 last name,c24@email.com,password,0,['none'],"['CEO', 'Management ', 'Nursing - Management', 'Policy, Planning & Regulation', 'Management - Agency', 'Nursing - General Medical & Surgical', 'Welders & Boilermakers ', 'Speech Therapy']"
c25 first name,c25 last name,c25@email.com,password,0,['none'],"['Administration', 'Engineering - Network', 'Accounts Officers/Clerks', 'Project Management', 'Field Engineering', 'Retail Assistants ', 'Nursing - Paediatric & PICU', 'Other', 'Urban Design & Planning', 'Tutoring']"
